Date,Num1,Num2,Num3,Num4,Num5,Num6,Refund
1988-07-19,5,14,20,24,29,34,-1.0
1988-07-20,1,6,18,22,26,38,-1.0
1988-07-24,11,16,24,26,37,42,-1.0
1988-07-25,4,5,19,30,42,45,-1.0
1988-07-26,11,16,19,32,35,42,-1.0
1988-07-27,4,12,21,34,35,40,-1.0
1988-07-31,6,11,14,16,35,45,-1.0
1988-08-01,3,14,19,24,35,49,-1.0
1988-08-02,2,5,7,31,35,38,-1.0
1988-08-03,14,17,20,25,27,35,-1.0
1988-08-07,9,19,23,26,39,48,-1.0
1988-08-08,21,27,34,44,45,47,-1.0
1988-08-09,22,26,32,39,44,46,-1.0
1988-08-10,1,10,22,26,43,47,-1.0
1988-08-14,1,2,3,26,29,45,-1.0
1988-08-15,10,12,19,22,30,47,-1.0
1988-08-16,4,10,32,34,43,46,-1.0
1988-08-17,6,10,15,17,26,46,-1.0
1988-08-21,1,7,18,34,38,41,-1.0
1988-08-22,3,10,16,23,33,42,-1.0
1988-08-23,2,4,15,19,25,35,-1.0
1988-08-24,5,8,29,30,33,39,-1.0
1988-08-28,10,12,15,20,33,38,-1.0
1988-08-29,4,6,7,13,19,32,-1.0
1988-08-30,6,7,8,29,31,40,-1.0
1988-08-31,3,4,8,23,26,47,-1.0
1988-09-04,7,20,21,30,31,38,-1.0
1988-09-05,8,9,30,44,48,49,-1.0
1988-09-06,1,11,15,31,39,40,-1.0
1988-09-07,8,17,23,31,32,36,-1.0
1988-09-11,8,26,27,36,45,47,-1.0
1988-09-12,7,22,37,38,45,47,-1.0
1988-09-13,2,9,16,31,37,44,-1.0
1988-09-14,6,13,23,35,43,45,-1.0
1988-09-18,11,17,19,28,45,49,-1.0
1988-09-19,4,11,17,18,26,30,-1.0
1988-09-20,8,28,29,34,37,40,-1.0
1988-09-21,6,9,25,39,42,44,-1.0
1988-09-25,2,4,8,13,25,38,-1.0
1988-09-26,2,11,29,39,44,45,-1.0
1988-09-27,4,5,18,24,48,49,-1.0
1988-09-28,3,11,21,31,33,35,-1.0
1988-10-02,5,7,16,29,40,49,-1.0
1988-10-03,23,24,39,40,41,45,-1.0
1988-10-04,7,10,18,20,29,44,-1.0
1988-10-05,2,3,12,14,24,39,-1.0
1988-10-09,2,12,30,31,39,41,-1.0
1988-10-10,4,8,9,28,41,46,-1.0
1988-10-11,2,8,33,34,41,48,-1.0
1988-10-12,3,21,25,26,29,32,-1.0
1988-10-16,2,20,24,27,32,36,-1.0
1988-10-17,11,21,25,31,37,49,-1.0
1988-10-18,4,6,18,39,45,46,-1.0
1988-10-19,8,20,31,37,39,42,-1.0
1988-10-23,2,10,26,28,29,49,-1.0
1988-10-24,10,11,12,24,26,27,-1.0
1988-10-25,2,4,9,18,39,47,-1.0
1988-10-26,8,27,34,39,42,47,-1.0
1988-10-30,14,20,30,31,48,49,-1.0
1988-10-31,10,25,30,31,44,47,-1.0
1988-11-01,2,17,21,35,46,47,-1.0
1988-11-02,8,11,14,23,44,47,-1.0
1988-11-06,11,15,16,20,27,41,-1.0
1988-11-07,11,18,27,28,32,44,-1.0
1988-11-08,3,10,13,23,24,30,-1.0
1988-11-09,2,5,6,15,19,49,-1.0
1988-11-13,1,2,5,20,38,43,-1.0
1988-11-14,6,8,9,21,27,48,-1.0
1988-11-15,6,13,21,39,47,48,-1.0
1988-11-16,1,11,14,17,18,47,-1.0
1988-11-20,18,32,34,43,48,49,-1.0
1988-11-21,1,11,12,22,30,33,-1.0
1988-11-22,6,7,17,19,27,39,-1.0
1988-11-23,11,25,28,41,42,47,-1.0
1988-11-27,23,29,33,34,45,49,-1.0
1988-11-28,3,6,7,9,15,26,-1.0
1988-11-29,14,23,32,35,37,42,-1.0
1988-11-30,8,16,19,21,22,27,-1.0
1988-12-04,2,31,32,33,44,49,-1.0
1988-12-05,2,17,23,24,32,33,-1.0
1988-12-06,4,29,33,39,40,44,-1.0
1988-12-07,9,19,24,34,35,41,-1.0
1988-12-11,7,15,32,36,46,47,-1.0
1988-12-12,11,26,32,35,46,48,-1.0
1988-12-13,4,7,19,35,38,42,-1.0
1988-12-14,2,3,11,15,22,30,-1.0
1988-12-18,13,23,32,34,38,49,-1.0
1988-12-19,9,10,25,27,44,49,-1.0
1988-12-20,5,16,19,40,41,46,-1.0
1988-12-21,1,22,34,36,37,45,-1.0
1989-01-01,1,15,22,26,32,46,-1.0
1989-01-02,11,19,27,31,47,49,-1.0
1989-01-03,6,8,15,26,41,44,-1.0
1989-01-04,19,27,28,31,36,43,-1.0
1989-01-08,3,7,37,45,48,49,-1.0
1989-01-09,19,30,33,41,42,48,-1.0
1989-01-10,7,15,19,23,25,28,-1.0
1989-01-11,7,14,19,31,36,47,-1.0
1989-01-15,6,18,22,33,39,40,-1.0
1989-01-16,5,23,25,34,37,40,-1.0
1989-01-17,19,31,33,34,37,42,-1.0
1989-01-18,2,12,15,28,33,39,-1.0
1989-01-22,7,9,12,17,25,29,-1.0
1989-01-23,7,11,12,19,29,40,-1.0
1989-01-24,3,8,12,17,20,43,-1.0
1989-01-25,20,21,23,25,26,28,-1.0
1989-01-29,2,7,29,38,41,47,-1.0
1989-01-30,12,13,16,26,29,41,-1.0
1989-01-31,3,12,18,33,38,39,-1.0
1989-02-01,18,19,36,43,44,47,-1.0
1989-02-05,5,20,25,28,30,44,-1.0
1989-02-06,12,13,14,18,35,44,-1.0
1989-02-07,4,6,10,23,42,46,-1.0
1989-02-08,2,15,22,26,39,46,-1.0
1989-02-12,4,6,18,30,36,42,-1.0
1989-02-13,2,5,14,24,31,45,-1.0
1989-02-14,11,17,19,24,40,44,-1.0
1989-02-15,1,2,14,17,27,38,-1.0
1989-02-19,4,19,22,25,28,39,-1.0
1989-02-20,1,7,13,34,37,39,-1.0
1989-02-21,8,9,10,15,30,49,-1.0
1989-02-22,1,4,13,18,19,35,-1.0
1989-02-26,7,10,14,20,41,42,-1.0
1989-02-27,1,19,30,37,42,45,-1.0
1989-02-28,4,11,29,43,46,47,-1.0
1989-03-01,1,11,27,37,46,48,-1.0
1989-03-05,1,12,19,31,46,48,-1.0
1989-03-06,6,17,19,22,35,39,-1.0
1989-03-07,4,10,11,19,31,37,-1.0
1989-03-08,9,18,39,44,46,49,-1.0
1989-03-12,11,12,14,29,36,42,-1.0
1989-03-13,5,11,14,21,38,45,-1.0
1989-03-14,6,7,23,35,38,40,-1.0
1989-03-15,13,19,24,34,40,44,-1.0
1989-03-19,12,19,22,28,29,41,-1.0
1989-03-20,7,20,33,34,36,45,-1.0
1989-03-21,5,6,7,31,41,42,-1.0
1989-03-22,2,14,15,27,44,45,-1.0
1989-03-26,8,12,14,34,46,47,-1.0
1989-03-27,2,23,30,35,48,49,-1.0
1989-03-28,22,24,27,32,38,49,-1.0
1989-03-29,2,18,19,33,37,43,-1.0
1989-04-02,4,14,19,21,43,44,-1.0
1989-04-03,7,8,13,20,29,46,-1.0
1989-04-04,12,21,37,38,43,46,-1.0
1989-04-05,19,25,32,33,34,35,-1.0
1989-04-09,9,11,22,34,35,43,-1.0
1989-04-10,1,12,18,22,35,43,-1.0
1989-04-11,5,6,7,9,19,26,-1.0
1989-04-12,7,11,12,25,44,47,-1.0
1989-04-16,10,12,20,32,48,49,-1.0
1989-04-17,1,5,7,10,17,38,-1.0
1989-04-18,7,8,13,24,30,46,-1.0
1989-04-19,8,20,39,43,44,45,-1.0
1989-04-23,16,27,34,37,43,47,-1.0
1989-04-24,18,20,22,28,45,46,-1.0
1989-04-25,9,21,31,32,44,45,-1.0
1989-04-26,1,2,9,23,39,45,-1.0
1989-04-30,6,20,39,42,44,48,-1.0
1989-05-01,9,11,12,18,21,43,-1.0
1989-05-02,1,2,15,21,24,42,-1.0
1989-05-03,5,9,21,26,43,46,-1.0
1989-05-07,5,6,8,24,40,48,-1.0
1989-05-08,3,21,30,33,43,45,-1.0
1989-05-09,20,25,35,45,47,49,-1.0
1989-05-10,10,15,33,38,42,45,-1.0
1989-05-14,8,11,20,31,35,41,-1.0
1989-05-15,9,10,13,32,33,47,-1.0
1989-05-16,3,5,23,26,27,45,-1.0
1989-05-17,6,11,17,22,41,45,-1.0
1989-05-21,13,25,30,31,36,46,-1.0
1989-05-22,1,10,16,33,39,46,-1.0
1989-05-23,20,26,33,34,41,42,-1.0
1989-05-24,3,4,26,33,43,45,-1.0
1989-05-28,1,3,11,31,33,44,-1.0
1989-05-29,2,4,24,31,34,35,-1.0
1989-05-30,2,6,12,16,34,43,-1.0
1989-05-31,1,14,18,25,26,48,-1.0
1989-06-04,1,17,21,40,41,47,-1.0
1989-06-05,7,10,20,27,42,43,-1.0
1989-06-06,1,8,11,23,28,30,-1.0
1989-06-07,5,8,13,33,46,48,-1.0
1989-06-11,2,10,12,34,37,41,-1.0
1989-06-12,5,9,13,18,20,25,-1.0
1989-06-13,6,20,28,35,45,46,-1.0
1989-06-14,7,13,25,27,34,38,-1.0
1989-06-18,9,22,36,39,40,42,-1.0
1989-06-19,7,15,17,27,43,46,-1.0
1989-06-20,3,12,27,30,43,49,-1.0
1989-06-21,10,12,19,20,28,33,-1.0
1989-06-25,10,23,27,33,45,47,-1.0
1989-06-26,9,10,12,17,24,30,-1.0
1989-06-27,6,21,24,28,32,46,-1.0
1989-06-28,22,24,25,26,27,38,-1.0
1989-07-02,21,26,32,42,44,47,-1.0
1989-07-03,3,9,14,21,39,45,-1.0
1989-07-04,15,17,27,29,35,49,-1.0
1989-07-05,7,23,36,37,40,41,-1.0
1989-07-09,7,14,20,35,38,42,-1.0
1989-07-10,6,8,12,20,28,37,-1.0
1989-07-11,7,17,28,39,41,46,-1.0
1989-07-12,1,5,13,27,39,44,-1.0
1989-07-16,11,13,15,25,30,48,-1.0
1989-07-17,33,34,36,41,47,49,-1.0
1989-07-18,2,7,12,20,34,37,-1.0
1989-07-19,6,13,14,28,36,37,-1.0
1989-07-23,3,9,11,19,23,43,-1.0
1989-07-24,1,10,18,19,39,41,-1.0
1989-07-25,19,20,26,31,32,49,-1.0
1989-07-26,4,13,14,20,23,25,-1.0
1989-07-30,2,17,29,34,36,44,-1.0
1989-07-31,2,5,17,37,42,44,-1.0
1989-08-01,4,10,28,29,43,49,-1.0
1989-08-02,12,33,35,37,44,49,-1.0
1989-08-06,11,21,25,27,37,49,-1.0
1989-08-07,2,20,26,30,40,41,-1.0
1989-08-08,12,22,23,26,38,48,-1.0
1989-08-09,4,11,23,31,46,48,-1.0
1989-08-13,3,12,22,25,39,45,-1.0
1989-08-14,5,13,24,27,29,49,-1.0
1989-08-15,10,16,20,26,36,40,-1.0
1989-08-16,8,13,23,30,32,40,-1.0
1989-08-20,9,18,19,28,33,44,-1.0
1989-08-21,3,15,17,19,39,42,-1.0
1989-08-22,2,5,18,21,27,35,-1.0
1989-08-23,5,23,25,27,30,31,-1.0
1989-08-27,8,22,32,36,38,44,-1.0
1989-08-28,5,17,29,31,41,42,-1.0
1989-08-29,2,12,33,37,39,47,-1.0
1989-08-30,5,13,18,39,40,43,-1.0
1989-09-03,1,14,19,22,40,47,-1.0
1989-09-04,27,30,40,46,48,49,-1.0
1989-09-05,5,10,11,16,32,37,-1.0
1989-09-06,1,4,5,8,40,42,-1.0
1989-09-10,2,7,15,23,34,36,-1.0
1989-09-11,1,6,8,12,27,29,-1.0
1989-09-12,6,39,42,44,45,46,-1.0
1989-09-13,14,23,30,35,36,49,-1.0
1989-09-17,19,28,29,32,40,44,-1.0
1989-09-18,15,34,38,39,46,47,-1.0
1989-09-19,2,11,16,22,33,39,-1.0
1989-09-20,15,16,34,35,42,45,-1.0
1989-09-24,13,14,15,24,37,43,-1.0
1989-09-25,25,29,37,41,46,48,-1.0
1989-09-26,1,18,21,22,26,41,-1.0
1989-09-27,4,22,31,36,39,47,-1.0
1989-10-01,16,31,33,34,38,49,-1.0
1989-10-02,6,17,32,35,39,43,-1.0
1989-10-03,14,18,27,32,35,47,-1.0
1989-10-04,5,8,16,19,42,48,-1.0
1989-10-08,2,14,24,25,27,40,-1.0
1989-10-09,5,14,23,27,42,46,-1.0
1989-10-10,1,2,8,25,27,43,-1.0
1989-10-11,9,19,28,30,39,41,-1.0
1989-10-15,8,26,31,33,34,36,-1.0
1989-10-16,2,3,17,22,30,42,-1.0
1989-10-17,3,8,11,16,31,39,-1.0
1989-10-18,12,20,22,24,40,42,-1.0
1989-10-22,11,17,21,25,38,49,-1.0
1989-10-23,11,12,17,23,24,49,-1.0
1989-10-24,1,10,11,20,22,30,-1.0
1989-10-25,2,5,10,17,29,30,-1.0
1989-10-29,8,19,34,35,42,43,-1.0
1989-10-30,4,5,12,30,33,34,-1.0
1989-10-31,2,11,23,41,45,46,-1.0
1989-11-01,1,18,21,30,33,40,-1.0
1989-11-05,3,12,21,30,42,48,-1.0
1989-11-06,2,21,27,31,33,45,-1.0
1989-11-07,1,2,7,28,30,43,-1.0
1989-11-08,2,5,10,12,21,25,-1.0
1989-11-12,1,6,18,33,34,42,-1.0
1989-11-13,9,15,20,23,36,46,-1.0
1989-11-14,13,30,32,37,40,41,-1.0
1989-11-15,2,9,15,28,34,46,-1.0
1989-11-19,3,9,18,27,41,42,-1.0
1989-11-20,10,15,23,25,31,34,-1.0
1989-11-21,2,19,36,37,44,49,-1.0
1989-11-22,7,19,27,31,37,41,-1.0
1989-11-26,6,9,34,40,42,44,-1.0
1989-11-27,1,18,21,33,34,43,-1.0
1989-11-28,5,14,19,29,30,32,-1.0
1989-11-29,2,13,20,27,31,44,-1.0
1989-12-03,5,15,23,31,40,42,-1.0
1989-12-04,2,25,29,33,34,45,-1.0
1989-12-05,9,18,23,26,36,40,-1.0
1989-12-06,11,17,34,37,42,46,-1.0
1989-12-10,6,7,24,25,44,48,-1.0
1989-12-11,6,7,16,17,18,38,-1.0
1989-12-12,6,13,20,30,37,47,-1.0
1989-12-13,8,29,33,40,46,49,-1.0
1989-12-17,11,20,26,30,39,47,-1.0
1989-12-18,19,32,35,36,40,49,-1.0
1989-12-19,13,24,32,36,37,42,-1.0
1989-12-20,10,26,33,34,38,44,-1.0
1989-12-24,7,15,16,24,31,43,-1.0
1989-12-25,2,7,12,13,30,47,-1.0
1989-12-26,35,36,37,40,47,48,-1.0
1989-12-27,4,9,20,21,25,27,-1.0
1989-12-31,15,20,30,32,36,46,-1.0
1990-01-01,1,10,12,14,33,34,-1.0
1990-01-02,10,15,21,24,31,49,-1.0
1990-01-03,6,7,8,25,28,39,-1.0
1990-01-07,5,33,41,42,43,46,-1.0
1990-01-08,13,18,20,25,30,31,-1.0
1990-01-09,8,11,14,27,33,44,-1.0
1990-01-10,13,30,34,43,46,49,-1.0
1990-01-14,15,16,25,27,36,45,-1.0
1990-01-15,1,10,13,27,39,42,-1.0
1990-01-16,1,2,6,29,30,40,-1.0
1990-01-17,3,25,27,36,37,44,-1.0
1990-01-21,4,10,18,35,42,47,-1.0
1990-01-22,2,24,33,34,35,40,-1.0
1990-01-23,15,16,17,18,38,41,-1.0
1990-01-24,18,32,35,42,47,49,-1.0
1990-01-28,3,16,34,37,45,48,-1.0
1990-01-29,4,7,31,32,44,49,-1.0
1990-01-30,4,6,8,28,30,38,-1.0
1990-01-31,12,14,16,25,32,34,-1.0
1990-02-04,1,7,25,27,28,46,-1.0
1990-02-05,2,4,9,27,38,44,-1.0
1990-02-06,6,30,32,34,35,37,-1.0
1990-02-07,10,24,39,41,45,46,-1.0
1990-02-11,14,21,28,32,34,44,-1.0
1990-02-12,17,23,27,31,40,42,-1.0
1990-02-13,2,3,6,43,44,45,-1.0
1990-02-14,7,14,18,27,37,43,-1.0
1990-02-18,1,5,18,27,35,40,-1.0
1990-02-19,16,25,29,31,43,46,-1.0
1990-02-20,8,16,18,20,25,28,-1.0
1990-02-21,15,22,25,28,38,48,-1.0
1990-02-25,14,15,19,21,30,42,-1.0
1990-02-26,10,13,17,27,41,46,-1.0
1990-02-27,4,7,8,23,29,30,-1.0
1990-02-28,16,17,22,28,42,43,-1.0
1990-03-04,7,16,21,29,34,39,-1.0
1990-03-05,8,15,21,27,39,42,-1.0
1990-03-06,1,12,13,23,39,45,-1.0
1990-03-07,2,8,16,17,30,33,-1.0
1990-03-11,6,13,26,28,47,48,-1.0
1990-03-12,27,29,36,37,44,47,-1.0
1990-03-13,3,4,11,18,25,49,-1.0
1990-03-14,3,7,9,21,22,26,-1.0
1990-03-18,4,9,18,23,31,42,-1.0
1990-03-19,16,21,36,45,46,47,-1.0
1990-03-20,6,12,23,34,48,49,-1.0
1990-03-21,9,11,20,28,36,47,-1.0
1990-03-25,1,3,16,30,47,49,-1.0
1990-03-26,9,12,25,35,42,47,-1.0
1990-03-27,12,14,31,33,44,49,-1.0
1990-03-28,1,12,22,26,34,40,-1.0
1990-04-01,1,24,26,28,34,35,-1.0
1990-04-02,2,5,6,10,15,45,-1.0
1990-04-03,2,21,28,31,32,34,-1.0
1990-04-04,5,8,13,27,42,49,-1.0
1990-04-08,7,10,17,25,29,46,-1.0
1990-04-09,3,9,24,27,34,45,-1.0
1990-04-10,7,25,27,36,37,45,-1.0
1990-04-11,1,4,13,19,22,32,-1.0
1990-04-15,11,17,32,38,46,49,-1.0
1990-04-16,3,9,23,30,34,36,-1.0
1990-04-17,2,9,24,27,30,39,-1.0
1990-04-18,9,13,14,22,31,44,-1.0
1990-04-22,9,15,25,44,46,47,-1.0
1990-04-23,12,19,24,25,38,42,-1.0
1990-04-24,1,2,22,36,41,42,-1.0
1990-04-25,19,26,39,40,47,48,-1.0
1990-04-29,6,9,18,24,29,40,-1.0
1990-04-30,1,3,7,12,16,46,-1.0
1990-05-01,4,12,33,36,43,49,-1.0
1990-05-02,1,4,5,18,27,45,-1.0
1990-05-06,3,15,19,20,33,36,-1.0
1990-05-07,6,13,16,17,26,47,-1.0
1990-05-08,9,13,23,30,43,48,-1.0
1990-05-09,10,27,28,31,43,46,-1.0
1990-05-13,28,29,33,40,47,48,-1.0
1990-05-14,9,13,22,28,40,48,-1.0
1990-05-15,22,26,34,39,43,48,-1.0
1990-05-16,11,13,19,26,39,48,-1.0
1990-05-20,19,23,24,34,40,48,-1.0
1990-05-21,19,23,27,33,42,45,-1.0
1990-05-22,5,7,8,19,20,21,-1.0
1990-05-23,16,30,32,38,44,46,-1.0
1990-05-27,2,10,24,26,38,46,-1.0
1990-05-28,6,9,22,43,45,49,-1.0
1990-05-29,6,19,23,35,42,49,-1.0
1990-05-30,7,16,24,29,33,43,-1.0
1990-06-03,4,15,19,31,41,46,-1.0
1990-06-04,4,15,25,31,41,47,-1.0
1990-06-05,1,9,10,13,15,41,-1.0
1990-06-06,1,4,21,26,28,31,-1.0
1990-06-10,5,8,13,22,38,42,-1.0
1990-06-11,2,7,14,28,38,46,-1.0
1990-06-12,3,22,28,30,39,40,-1.0
1990-06-13,1,4,7,15,33,40,-1.0
1990-06-17,14,17,25,26,32,39,-1.0
1990-06-18,14,16,26,30,35,44,-1.0
1990-06-19,14,28,37,44,46,47,-1.0
1990-06-20,2,6,17,34,38,48,-1.0
1990-06-24,17,27,37,45,46,47,-1.0
1990-06-25,10,15,18,21,30,44,-1.0
1990-06-26,4,22,23,37,46,48,-1.0
1990-06-27,4,5,26,36,48,49,-1.0
1990-07-01,5,9,13,19,32,41,-1.0
1990-07-02,3,7,17,39,47,48,-1.0
1990-07-03,6,7,15,16,17,19,-1.0
1990-07-04,1,10,17,23,24,28,-1.0
1990-07-08,1,5,12,18,27,47,-1.0
1990-07-09,25,28,30,33,40,49,-1.0
1990-07-10,15,17,19,37,40,43,-1.0
1990-07-11,7,14,37,38,41,46,-1.0
1990-07-15,7,9,36,42,46,49,-1.0
1990-07-16,26,27,28,31,44,45,-1.0
1990-07-17,1,10,11,16,41,46,-1.0
1990-07-18,5,13,29,33,38,48,-1.0
1990-07-22,1,8,19,20,25,42,-1.0
1990-07-23,4,5,7,23,46,47,-1.0
1990-07-24,12,13,16,19,39,42,-1.0
1990-07-25,5,7,17,30,39,45,-1.0
1990-07-29,1,8,16,24,38,40,-1.0
1990-07-30,16,24,35,38,47,48,-1.0
1990-07-31,12,26,27,31,46,48,-1.0
1990-08-01,3,13,17,22,33,48,-1.0
1990-08-05,11,30,34,36,43,49,-1.0
1990-08-06,13,25,27,29,36,43,-1.0
1990-08-07,13,19,34,42,46,47,-1.0
1990-08-08,8,16,21,34,38,45,-1.0
1990-08-12,7,12,17,21,30,49,-1.0
1990-08-13,2,18,26,27,32,38,-1.0
1990-08-14,2,8,23,30,37,38,-1.0
1990-08-15,1,4,24,31,39,44,-1.0
1990-08-19,3,27,36,38,40,45,-1.0
1990-08-20,12,17,18,22,27,30,-1.0
1990-08-21,3,4,12,25,26,44,-1.0
1990-08-22,3,12,19,24,27,37,-1.0
1990-08-26,3,12,20,33,35,49,-1.0
1990-08-27,9,11,18,33,35,38,-1.0
1990-08-28,10,18,34,45,46,47,-1.0
1990-08-29,8,22,24,31,44,47,-1.0
1990-09-02,19,22,25,34,44,46,-1.0
1990-09-03,3,7,21,22,28,29,-1.0
1990-09-04,16,20,23,25,37,41,-1.0
1990-09-05,3,23,27,30,41,42,-1.0
1990-09-09,1,6,13,19,41,42,-1.0
1990-09-10,12,20,22,29,35,36,-1.0
1990-09-11,15,17,21,22,31,38,-1.0
1990-09-12,3,8,15,17,19,42,-1.0
1990-09-16,24,27,31,34,35,36,-1.0
1990-09-17,1,12,35,37,42,46,-1.0
1990-09-18,1,2,11,17,18,24,-1.0
1990-09-19,4,6,15,28,32,48,-1.0
1990-09-23,3,7,24,42,43,48,-1.0
1990-09-24,8,11,31,38,40,46,-1.0
1990-09-25,11,16,21,41,42,48,-1.0
1990-09-26,10,22,28,31,32,37,-1.0
1990-09-30,1,2,19,28,40,46,-1.0
1990-10-01,1,5,19,32,39,43,-1.0
1990-10-02,5,6,15,36,47,48,-1.0
1990-10-03,4,8,9,27,32,34,-1.0
1990-10-07,17,34,37,39,43,44,-1.0
1990-10-08,16,23,26,29,34,36,-1.0
1990-10-09,9,12,17,21,22,26,-1.0
1990-10-10,9,14,24,30,31,44,-1.0
1990-10-14,6,8,23,25,29,47,-1.0
1990-10-15,10,22,28,32,39,48,-1.0
1990-10-16,18,20,32,34,35,48,-1.0
1990-10-17,3,4,16,19,39,40,-1.0
1990-10-21,21,22,24,28,41,49,-1.0
1990-10-22,8,11,24,29,43,45,-1.0
1990-10-23,1,6,23,25,45,47,-1.0
1990-10-24,2,7,19,34,37,44,-1.0
1990-10-28,8,21,23,36,37,39,-1.0
1990-10-29,4,20,25,27,41,45,-1.0
1990-10-30,5,15,19,27,31,40,-1.0
1990-10-31,21,22,34,35,37,47,-1.0
1990-11-04,5,16,17,35,36,47,-1.0
1990-11-05,14,23,34,37,40,48,-1.0
1990-11-06,14,37,38,40,41,49,-1.0
1990-11-07,3,18,24,26,34,45,-1.0
1990-11-11,4,12,25,42,43,45,-1.0
1990-11-12,13,20,40,42,44,49,-1.0
1990-11-13,1,2,4,20,29,32,-1.0
1990-11-14,7,16,24,39,40,41,-1.0
1990-11-18,19,22,35,36,38,41,-1.0
1990-11-19,4,5,12,26,38,42,-1.0
1990-11-20,31,44,45,46,47,49,-1.0
1990-11-21,18,24,33,36,41,43,-1.0
1990-11-25,1,5,12,13,26,46,-1.0
1990-11-26,10,16,27,32,41,42,-1.0
1990-11-27,1,5,6,26,30,31,-1.0
1990-11-28,15,30,31,34,38,41,-1.0
1990-12-02,7,11,13,17,20,49,-1.0
1990-12-03,33,36,38,41,42,43,-1.0
1990-12-04,6,13,15,27,37,43,-1.0
1990-12-05,4,11,13,14,31,40,-1.0
1990-12-09,4,27,35,44,46,47,-1.0
1990-12-10,11,14,24,35,46,47,-1.0
1990-12-11,9,12,24,27,39,49,-1.0
1990-12-12,19,20,30,39,42,48,-1.0
