FECHA,COMBINACIÓN GANADORA,,,,,,COMP.,R.,JOKER
7/09/2023,01,15,24,27,30,40,46,9,8744721
4/09/2023,19,23,28,37,41,46,24,8,5835072
2/09/2023,19,25,30,39,42,44,18,7,3895540
31/08/2023,12,17,28,32,41,45,23,4,7983273
28/08/2023,03,22,42,43,46,48,38,4,0387398
26/08/2023,07,10,21,28,30,33,05,7,1154614
24/08/2023,13,18,38,39,42,46,26,7,3524563
21/08/2023,11,15,17,20,37,46,06,3,0969444
19/08/2023,02,03,12,26,31,42,43,9,3096266
17/08/2023,02,08,11,12,16,18,06,0,4963879
14/08/2023,11,20,33,38,44,48,15,3,1138975
12/08/2023,12,13,15,28,40,42,47,0,8649314
10/08/2023,10,17,20,25,28,42,06,8,8882765
7/08/2023,16,25,26,31,45,47,48,1,8983203
5/08/2023,04,05,08,11,20,40,31,5,9066841
3/08/2023,03,08,12,13,29,31,25,6,8153975
31/07/2023,01,10,17,25,26,41,22,5,1530903
29/07/2023,16,23,26,33,40,41,02,5,4391383
27/07/2023,04,10,20,24,42,48,11,1,1262605
24/07/2023,05,13,15,23,29,35,14,2,0489771
22/07/2023,02,06,11,19,22,33,31,6,1751217
20/07/2023,11,15,27,30,40,47,09,5,9150013
17/07/2023,02,14,32,33,35,46,20,3,9789716
15/07/2023,05,11,16,35,37,43,13,5,4184805
13/07/2023,01,07,17,33,38,40,41,6,9048037
10/07/2023,11,16,26,30,43,44,10,6,1655955
8/07/2023,01,16,20,21,23,26,07,2,3824206
6/07/2023,17,19,33,34,37,43,45,7,3588849
3/07/2023,08,16,20,39,45,46,12,5,0568991
1/07/2023,11,13,27,33,40,48,18,3,8420046
29/06/2023,05,32,35,41,42,45,26,7,0219571
26/06/2023,03,05,18,32,34,36,04,2,6306853
24/06/2023,03,07,10,28,39,48,49,2,4003524
22/06/2023,01,08,09,24,29,32,12,1,9550450
19/06/2023,01,12,20,28,29,35,18,5,4837440
17/06/2023,12,28,37,38,40,49,05,9,5328765
15/06/2023,07,16,20,43,48,49,17,2,3052797
12/06/2023,15,17,32,33,44,45,34,7,7713958
10/06/2023,01,10,14,18,38,44,29,5,0346528
8/06/2023,01,09,15,17,39,42,11,8,1501202
5/06/2023,09,18,20,23,38,49,21,2,1027445
3/06/2023,19,27,28,30,31,36,06,0,9196102
1/06/2023,10,20,21,30,38,41,08,1,5975511
29/05/2023,01,10,13,26,33,43,22,5,8196804
27/05/2023,02,17,18,24,25,46,04,4,5421783
25/05/2023,05,09,10,11,16,48,27,9,5595363
22/05/2023,01,05,14,23,30,41,16,9,0958654
20/05/2023,15,25,28,33,38,47,41,9,7477981
18/05/2023,03,08,09,18,46,49,43,8,1781012
15/05/2023,03,06,16,25,34,42,23,4,3896591
13/05/2023,01,24,33,37,47,48,35,4,1292875
11/05/2023,14,24,34,38,42,45,44,2,2391174
8/05/2023,03,13,17,24,28,45,25,5,0669655
6/05/2023,04,16,17,28,37,44,23,9,4989788
4/05/2023,01,02,14,20,21,41,05,8,3816222
1/05/2023,06,31,34,39,40,41,11,7,1073729
29/04/2023,13,14,27,31,46,48,25,5,4143385
27/04/2023,04,07,08,46,47,48,03,5,6558547
24/04/2023,01,10,11,15,30,42,03,9,7592226
22/04/2023,01,04,07,08,43,44,14,3,6702854
20/04/2023,08,13,17,26,29,48,20,2,2152086
17/04/2023,01,07,11,21,26,43,23,6,1716021
15/04/2023,03,09,19,20,22,46,40,5,4002639
13/04/2023,09,23,24,26,36,42,34,3,9385339
10/04/2023,01,13,25,34,37,41,15,1,1321240
8/04/2023,19,23,30,37,42,47,09,7,3977374
6/04/2023,09,11,15,22,39,43,34,9,3580032
3/04/2023,05,12,15,24,28,29,48,1,2334410
1/04/2023,09,13,18,27,39,40,26,3,2025475
30/03/2023,03,09,12,14,26,45,17,1,2368929
27/03/2023,02,06,20,31,44,49,23,3,3660467
25/03/2023,05,09,21,36,41,46,26,5,0683239
23/03/2023,01,12,22,25,36,49,45,9,3860444
20/03/2023,21,24,27,37,41,42,23,6,5062543
18/03/2023,02,21,23,28,34,45,13,9,8806605
16/03/2023,14,23,28,40,42,45,35,5,6688347
13/03/2023,11,15,31,33,36,37,23,9,1904188
11/03/2023,03,16,19,23,37,44,32,0,7783281
9/03/2023,03,18,31,35,41,49,45,0,8657356
6/03/2023,01,06,16,18,21,43,34,8,1593820
4/03/2023,06,08,17,24,28,48,13,0,3413932
2/03/2023,16,17,23,37,44,48,26,6,4303299
27/02/2023,02,10,19,28,37,38,09,8,4713688
25/02/2023,13,19,20,22,24,45,27,7,8895180
23/02/2023,01,07,11,15,26,37,05,9,3283548
20/02/2023,03,13,22,29,38,42,36,3,8487673
18/02/2023,09,21,30,34,41,43,17,8,9861267
16/02/2023,02,24,25,32,33,40,34,5,4836847
13/02/2023,05,08,11,19,36,49,31,7,3658290
11/02/2023,08,15,26,29,33,37,47,9,2953875
9/02/2023,06,16,24,28,32,46,17,9,5587521
6/02/2023,05,18,20,25,26,29,21,4,0409548
4/02/2023,06,12,29,33,34,36,24,5,3578333
2/02/2023,02,08,10,18,20,33,41,8,1050185
30/01/2023,02,04,14,21,32,34,06,0,9998714
28/01/2023,01,03,08,11,29,37,47,6,7842042
26/01/2023,13,19,31,35,39,45,37,6,4305626
23/01/2023,08,09,17,20,33,37,26,2,8283395
21/01/2023,07,10,35,37,47,49,14,5,1181963
19/01/2023,15,23,27,36,39,48,04,2,4646993
16/01/2023,12,25,26,30,35,47,38,4,5768915
14/01/2023,02,15,24,34,36,43,12,4,1531059
12/01/2023,01,13,19,24,43,46,20,2,2367527
9/01/2023,15,16,24,25,33,34,47,7,3308096
7/01/2023,05,08,21,24,32,38,18,6,8154819
5/01/2023,11,20,30,32,37,42,44,7,4205179
2/01/2023,23,25,27,42,44,46,01,7,3120481
31/12/2022,07,08,20,22,23,47,15,3,4304711
29/12/2022,05,06,27,30,37,43,49,6,5064071
26/12/2022,03,17,30,40,41,49,28,6,4434278
24/12/2022,12,17,19,27,29,32,46,4,4729978
22/12/2022,03,16,20,23,40,41,33,0,1353638
19/12/2022,01,07,24,30,40,49,14,1,4190480
17/12/2022,12,18,35,39,43,48,49,9,9154568
15/12/2022,13,24,27,37,44,48,30,5,1653880
12/12/2022,11,20,25,31,38,41,21,8,0998836
10/12/2022,04,06,11,19,30,48,03,1,3243543
8/12/2022,05,17,28,30,36,46,18,2,1958217
5/12/2022,05,11,15,25,28,47,30,8,1351336
3/12/2022,05,14,30,33,34,47,32,8,9899820
1/12/2022,08,09,28,29,42,45,02,6,3946312
28/11/2022,01,15,16,21,30,40,48,4,1396904
26/11/2022,06,11,16,32,46,49,43,8,5738645
24/11/2022,01,02,27,28,39,46,20,6,3520858
21/11/2022,19,24,26,34,41,46,15,7,5718558
19/11/2022,06,11,12,15,22,32,10,6,1370090
17/11/2022,02,20,22,23,38,47,13,8,7836357
14/11/2022,05,20,25,36,47,48,41,2,4925147
12/11/2022,01,09,19,28,34,36,33,5,0089191
10/11/2022,10,15,16,25,28,30,46,1,1185383
7/11/2022,18,26,28,37,44,47,05,8,6366353
5/11/2022,14,16,26,35,39,40,44,1,3526664
3/11/2022,06,08,13,20,23,41,42,3,7026164
31/10/2022,01,16,21,35,38,47,15,3,6075108
29/10/2022,04,07,13,29,42,44,02,2,0327787
27/10/2022,01,06,08,29,30,33,48,8,0269300
24/10/2022,02,12,14,33,43,45,16,4,5357501
22/10/2022,04,15,16,24,26,28,35,4,4157406
20/10/2022,05,08,11,17,29,43,38,3,1021197
17/10/2022,23,29,32,39,40,41,38,9,2262461
15/10/2022,05,16,28,29,41,42,04,7,0787181
13/10/2022,01,31,32,36,39,43,48,3,2125778
10/10/2022,01,06,18,19,40,42,04,2,6916884
8/10/2022,08,17,24,28,35,38,34,3,2607869
6/10/2022,16,19,20,22,24,25,15,0,8190354
3/10/2022,13,23,24,32,35,39,27,8,3970412
1/10/2022,02,03,08,32,37,45,23,9,4936132
29/09/2022,05,14,17,21,27,40,22,6,2379776
26/09/2022,14,16,20,22,40,44,09,9,8752520
24/09/2022,03,05,07,14,47,48,34,4,8309366
22/09/2022,11,12,14,42,44,47,17,9,8595023
19/09/2022,12,32,35,37,39,43,40,7,9904701
17/09/2022,02,14,28,35,43,44,23,7,7158899
15/09/2022,05,12,24,30,46,47,45,2,5724090
12/09/2022,06,07,23,29,43,49,37,7,8163369
10/09/2022,16,21,35,38,47,48,28,5,5021337
8/09/2022,03,10,15,28,34,39,21,5,3503438
5/09/2022,08,09,25,38,42,48,05,9,5189552
3/09/2022,11,29,35,43,45,49,39,5,6689995
1/09/2022,08,10,14,29,30,46,05,9,9151620
29/08/2022,07,08,16,19,20,41,46,3,9425677
27/08/2022,04,05,34,40,43,45,06,8,3529743
25/08/2022,11,13,16,24,30,41,18,5,2713546
22/08/2022,06,11,14,15,19,22,33,5,8733609
20/08/2022,19,29,31,37,38,39,16,0,9179060
18/08/2022,08,26,27,30,37,45,01,5,6903774
15/08/2022,03,12,23,40,41,43,04,1,3268096
13/08/2022,18,25,27,29,38,39,44,8,8990467
11/08/2022,05,07,08,31,40,43,06,8,8715592
8/08/2022,09,15,16,20,22,36,18,3,0129419
6/08/2022,11,20,25,28,48,49,30,3,9046958
4/08/2022,05,07,20,22,38,40,42,9,3357488
1/08/2022,03,17,18,33,43,49,05,5,1932263
30/07/2022,01,10,28,30,31,35,24,8,4777748
28/07/2022,04,07,14,28,34,49,20,7,5585639
25/07/2022,02,05,19,30,42,43,49,7,6734199
23/07/2022,01,13,25,34,44,47,40,0,9527929
21/07/2022,08,20,29,39,43,45,42,5,1027012
18/07/2022,01,05,20,30,46,49,25,5,5159422
16/07/2022,19,24,37,43,45,47,07,4,6175325
14/07/2022,10,19,28,34,36,44,04,6,1875034
11/07/2022,08,10,19,25,38,39,02,1,3631964
9/07/2022,17,18,21,22,23,44,14,1,1476384
7/07/2022,01,06,11,12,16,26,43,3,4762103
2/07/2022,06,27,28,32,38,45,44,4,3050571
30/06/2022,12,21,23,30,40,49,25,8,5504693
25/06/2022,02,04,12,21,40,45,46,3,4976526
23/06/2022,01,13,23,29,37,47,16,6,3003553
18/06/2022,18,26,30,33,39,41,13,9,0243217
16/06/2022,05,11,23,25,29,46,47,8,2925402
11/06/2022,02,21,22,28,45,46,41,7,3918517
9/06/2022,01,17,22,31,38,45,29,4,4869755
4/06/2022,02,06,26,35,38,46,16,3,0212151
2/06/2022,01,10,19,21,24,32,43,8,0096499
28/05/2022,07,20,30,34,45,48,01,5,8101152
26/05/2022,02,18,30,31,34,43,26,2,1103050
21/05/2022,02,08,18,35,48,49,03,0,2964997
19/05/2022,06,25,32,38,43,47,19,5,2783475
14/05/2022,16,23,29,33,38,47,27,5,4761372
12/05/2022,01,08,38,39,45,48,34,5,6689347
7/05/2022,08,16,18,21,23,41,43,9,9756552
5/05/2022,03,08,21,22,26,40,37,1,9475647
30/04/2022,02,12,32,46,48,49,38,7,4904118
28/04/2022,18,20,28,32,37,47,31,1,6141200
23/04/2022,01,07,14,29,32,44,08,0,1199783
21/04/2022,01,02,09,11,27,41,26,4,8682559
16/04/2022,09,10,19,27,45,46,28,1,7157492
14/04/2022,01,18,29,40,41,48,08,0,8262079
9/04/2022,11,17,21,23,29,35,41,6,0080004
7/04/2022,10,20,26,39,44,48,02,4,6195263
2/04/2022,08,11,19,28,29,38,12,5,1507226
31/03/2022,01,07,08,26,39,46,33,4,7862964
26/03/2022,01,12,13,14,15,42,49,3,0954121
24/03/2022,04,13,18,22,36,46,16,2,4002778
19/03/2022,04,09,10,15,16,40,33,2,2145137
17/03/2022,04,13,19,22,30,47,18,8,2107265
12/03/2022,02,12,14,22,30,41,40,8,3702757
10/03/2022,09,23,25,31,45,48,42,9,9602656
5/03/2022,10,12,14,19,23,46,27,4,6924734
3/03/2022,03,10,15,20,22,48,25,7,5211234
26/02/2022,03,15,32,38,40,42,09,3,5986095
24/02/2022,09,24,39,40,41,47,17,9,8125234
19/02/2022,03,09,22,29,33,34,35,3,3799484
17/02/2022,04,05,13,16,26,29,22,0,5486201
12/02/2022,02,18,31,40,43,45,16,1,6629038
10/02/2022,05,06,11,19,34,44,02,1,3760573
5/02/2022,21,23,36,37,40,46,15,0,9769343
3/02/2022,11,15,17,22,27,37,49,5,0079196
29/01/2022,04,07,11,31,32,49,21,3,3616169
27/01/2022,05,09,25,31,33,49,40,4,4718887
22/01/2022,06,18,27,28,32,33,46,1,3021367
20/01/2022,03,11,17,18,39,46,41,6,9566016
15/01/2022,04,05,13,19,25,27,23,9,4175532
13/01/2022,12,16,17,18,40,45,10,4,2347065
8/01/2022,01,11,12,21,29,36,24,5,9743866
6/01/2022,11,18,34,40,47,48,49,7,2328360
1/01/2022,08,13,17,25,44,46,03,8,7030161
30/12/2021,12,24,32,36,37,43,38,4,5617205
25/12/2021,06,22,25,27,32,47,48,8,6840250
23/12/2021,15,17,23,32,44,45,02,9,0190566
18/12/2021,03,04,27,29,32,45,42,2,8534764
16/12/2021,04,10,14,15,22,45,23,4,3219438
11/12/2021,04,07,13,14,39,40,42,5,3442014
9/12/2021,02,03,04,27,28,37,01,0,2510358
4/12/2021,01,04,06,08,19,27,29,8,0168674
2/12/2021,01,05,10,18,28,30,48,2,5553455
27/11/2021,02,04,06,13,18,19,35,3,6402446
25/11/2021,17,18,28,29,36,49,44,4,3896833
20/11/2021,03,20,26,33,42,44,15,0,8691788
18/11/2021,12,15,22,27,28,43,23,5,2093268
13/11/2021,04,19,34,38,43,48,22,4,0393678
11/11/2021,14,27,37,43,46,49,34,9,9539221
6/11/2021,01,02,05,26,33,49,31,3,2897053
4/11/2021,22,24,25,31,45,47,44,5,5760867
30/10/2021,06,13,29,37,38,45,14,5,8175938
28/10/2021,05,08,15,17,34,45,27,8,5078787
23/10/2021,01,03,12,15,29,47,37,0,0878641
21/10/2021,09,10,18,20,30,46,26,1,2164705
16/10/2021,06,10,21,42,43,47,01,3,2851522
14/10/2021,04,08,19,21,24,33,02,3,0495790
9/10/2021,06,14,18,29,45,46,38,6,4616797
7/10/2021,03,14,24,34,41,46,19,9,4402040
2/10/2021,10,21,25,33,42,43,14,2,4947737
30/09/2021,02,10,14,23,36,44,18,5,9295531
25/09/2021,10,14,23,38,42,48,13,0,3365416
23/09/2021,12,20,23,27,29,42,21,5,9296791
18/09/2021,03,28,31,34,43,46,17,2,4245337
16/09/2021,04,13,14,19,41,44,17,2,2591775
11/09/2021,03,07,12,22,24,39,29,7,3252151
9/09/2021,07,24,30,39,44,48,04,2,2053411
4/09/2021,02,04,08,23,33,44,45,4,3644143
2/09/2021,10,17,22,26,29,49,14,9,9920756
28/08/2021,04,10,15,16,34,49,44,3,5878658
26/08/2021,02,03,18,30,35,47,21,7,1852989
21/08/2021,01,04,05,14,19,45,25,1,1613223
19/08/2021,04,13,18,28,33,40,02,1,3596115
14/08/2021,16,19,26,31,33,40,30,0,5164172
12/08/2021,20,27,35,36,41,42,11,9,1115113
7/08/2021,02,03,15,22,36,40,13,9,0994745
5/08/2021,03,11,19,30,33,35,49,0,8583659
31/07/2021,06,11,17,25,30,43,40,7,2193984
29/07/2021,12,24,32,33,36,45,10,5,7552610
24/07/2021,11,26,31,32,43,45,19,1,0596326
22/07/2021,06,07,12,27,28,41,40,5,4617639
17/07/2021,01,05,14,26,27,29,43,1,7014302
15/07/2021,05,19,23,34,36,37,29,7,9246899
10/07/2021,15,20,21,25,32,42,10,3,7446750
8/07/2021,02,05,16,21,34,35,31,0,0295212
3/07/2021,05,10,18,19,34,35,17,5,8884516
1/07/2021,01,02,06,22,29,34,08,8,1902021
26/06/2021,01,04,22,35,39,40,34,0,8361203
24/06/2021,01,09,12,26,28,34,25,0,2907556
19/06/2021,08,15,19,29,38,48,37,1,5449161
17/06/2021,08,15,21,25,37,42,44,3,1839786
12/06/2021,01,19,23,31,38,48,40,3,0092538
10/06/2021,02,19,26,29,41,42,45,4,0048800
5/06/2021,01,25,26,28,34,45,49,1,3360866
3/06/2021,01,02,09,19,30,49,16,8,5709831
29/05/2021,06,07,19,21,31,42,10,0,0189757
27/05/2021,12,14,37,39,41,47,06,9,6302415
22/05/2021,17,19,24,33,41,46,06,7,6872546
20/05/2021,02,13,15,17,32,40,28,6,0680319
15/05/2021,03,08,19,20,44,45,17,3,7814438
13/05/2021,03,14,23,29,35,48,06,8,4409818
8/05/2021,04,07,10,18,27,31,01,1,0857569
6/05/2021,01,14,21,26,35,49,32,9,4397399
1/05/2021,15,23,29,33,37,41,19,0,4509284
29/04/2021,01,04,36,37,42,43,15,5,5068852
24/04/2021,02,26,32,37,40,43,23,9,7284903
22/04/2021,08,15,19,23,27,33,05,5,8334421
17/04/2021,01,06,13,21,26,40,12,9,8671909
15/04/2021,14,19,20,23,24,29,15,2,7721548
10/04/2021,06,08,12,30,40,41,32,6,0336283
8/04/2021,10,18,26,35,41,48,02,8,1027743
3/04/2021,01,08,10,17,27,31,34,1,4004433
1/04/2021,06,11,20,24,36,41,44,4,8832973
27/03/2021,07,22,34,44,46,47,30,9,5224728
25/03/2021,05,18,19,26,39,49,30,4,2007562
20/03/2021,11,13,23,24,41,42,07,7,6197991
18/03/2021,02,26,28,44,45,47,20,8,2354008
13/03/2021,01,12,27,32,40,48,44,9,9272351
11/03/2021,01,02,17,28,36,42,16,8,1631163
6/03/2021,03,05,11,16,17,40,32,7,2899314
4/03/2021,02,07,08,13,32,42,06,0,9144932
27/02/2021,14,19,29,34,42,48,04,8,7066724
25/02/2021,13,25,30,33,36,43,07,9,3631084
20/02/2021,02,05,07,38,43,44,37,1,0624146
18/02/2021,01,03,09,29,36,41,37,3,0202869
13/02/2021,09,10,25,35,37,40,45,9,1609880
11/02/2021,02,03,08,10,39,48,44,3,3925366
6/02/2021,07,15,22,37,41,42,28,5,6007044
4/02/2021,05,09,11,33,46,49,10,2,1464402
30/01/2021,13,14,26,33,36,40,18,4,4461785
28/01/2021,03,26,31,35,46,49,17,3,2946326
23/01/2021,05,11,22,28,30,42,26,7,7747157
21/01/2021,08,14,31,42,43,44,20,4,8514098
16/01/2021,01,28,30,34,48,49,42,0,7002402
14/01/2021,10,12,14,39,41,45,06,3,5378943
9/01/2021,08,13,19,25,29,38,32,2,0151226
7/01/2021,18,24,32,33,35,46,19,3,1016895
2/01/2021,06,13,19,37,38,43,15,9,8180708
31/12/2020,04,05,07,15,24,38,41,0,2876717
26/12/2020,16,20,23,31,38,43,27,5,4376608
24/12/2020,04,06,11,32,36,43,01,4,8658600
19/12/2020,04,06,09,11,19,23,10,4,7039088
17/12/2020,03,11,24,38,40,43,08,6,8188800
12/12/2020,11,16,26,27,40,44,18,0,0875361
10/12/2020,09,12,13,18,22,36,02,7,8284220
5/12/2020,03,14,28,31,40,49,20,6,8155390
3/12/2020,02,14,19,30,32,49,16,9,7238443
28/11/2020,02,04,13,21,25,28,32,9,7671945
26/11/2020,17,22,26,29,31,44,20,9,2287293
21/11/2020,08,15,17,32,36,45,25,2,7519816
19/11/2020,03,06,12,30,44,46,39,0,4553776
14/11/2020,05,09,16,33,36,43,41,0,0621491
12/11/2020,03,21,27,36,37,46,26,7,0954046
7/11/2020,02,06,09,20,22,48,16,8,1247927
5/11/2020,01,04,10,22,31,41,29,0,5626876
31/10/2020,02,13,21,32,41,43,40,9,9439235
29/10/2020,01,22,27,34,47,49,11,6,3399180
24/10/2020,09,17,24,41,42,47,39,1,7970561
22/10/2020,13,17,31,36,39,43,19,6,5593195
17/10/2020,01,07,39,40,41,46,33,3,3016350
15/10/2020,01,10,13,23,42,48,40,2,7009115
10/10/2020,01,04,16,27,36,44,40,4,8315266
8/10/2020,01,06,09,11,21,39,19,1,2712677
3/10/2020,05,12,13,27,42,48,14,5,5097034
1/10/2020,04,06,10,25,29,41,19,8,3634529
26/09/2020,07,10,14,15,26,46,20,0,3844410
24/09/2020,03,10,13,15,31,48,43,6,3402449
19/09/2020,07,17,19,35,42,44,06,5,3194731
17/09/2020,08,18,19,20,36,40,37,9,6316945
12/09/2020,05,18,25,28,35,46,02,4,8403588
10/09/2020,23,29,30,36,37,43,33,7,9766090
5/09/2020,07,12,14,21,34,38,24,2,5865390
3/09/2020,10,11,13,26,44,45,37,5,2540174
29/08/2020,01,06,11,20,24,35,02,2,1971223
27/08/2020,09,16,35,42,47,49,27,8,4651140
22/08/2020,10,12,14,31,33,40,08,3,5222218
20/08/2020,04,07,14,22,45,47,13,0,2449195
15/08/2020,05,10,27,34,36,38,35,5,6375234
13/08/2020,01,04,06,17,23,26,03,0,0048124
8/08/2020,03,09,12,14,15,46,38,5,6549224
6/08/2020,18,23,33,35,36,41,49,2,1053010
1/08/2020,01,13,24,35,44,48,38,3,1718268
30/07/2020,03,13,33,34,45,47,43,0,0899736
25/07/2020,03,16,33,37,43,45,42,1,9359173
23/07/2020,07,13,34,36,43,45,06,4,8436909
18/07/2020,04,13,38,39,40,42,41,9,8071007
16/07/2020,13,15,26,42,45,47,07,5,2333091
